0.05,0,0,0.0,0.0,0.0
0.1,0,0,0.0,0.0,0.0
0.15,0,0,0.0,0.0,0.0
0.2,0,0,0.0,0.0,0.0
0.25,0,0,0.0,0.0,0.0
0.3,0,0,0.0,0.0,0.0
0.35,0,0,0.0,0.0,0.0
0.4,0,0,0.0,0.0,0.0
0.45,0,0,0.0,0.0,0.0
0.5,0,0,0.0,0.0,0.0
0.55,0,0,0.0,0.0,0.0
0.6,0,0,0.0,0.0,0.0
0.65,2,2,2.0,3.0769230769230766,7.076923076923077
0.7,5,5,7.857142857142858,4.285714285714286,17.142857142857142
0.75,6,6,16.476190476190474,1.3333333333333333,23.809523809523807
0.8,7,7,27.595238095238095,1.25,35.845238095238095
0.85,8,8,40.46498599439776,1.1764705882352942,49.641456582633054
0.9,9,9,53.96109554933084,1.1111111111111112,64.07220666044195
0.95,11,11,67.80115320982193,2.1052631578947367,80.90641636771667
1.0,12,12,79.80115320982193,1.0,92.80115320982193
1.05,13,13,89.0010982950685,0.9523809523809523,102.95347924744945
1.1,25,25,105.91008935915318,10.909090909090908,141.81918026824408
1.15,35,35,127.09572987752452,8.695652173913045,170.79138205143755
1.2,46,46,151.91310823127043,9.166666666666668,207.07977489793709
1.25,57,57,178.53048658501635,8.8,244.33048658501636
1.3,68,68,205.33114352693565,8.461538461538462,281.7926819884741
1.35,81,81,233.09714335328567,9.62962962962963,323.7267729829153
1.4,99,99,265.4979595380612,12.857142857142858,377.355102395204
1.451,99,99,281.9758508187879,0.0,380.9758508187879
1.501,99,99,286.8586614382331,0.0,385.8586614382331
1.551,99,99,283.9507810691381,0.0,382.9507810691381
1.601,99,99,276.35838917497694,0.0,375.35838917497694
1.651,99,99,266.3884852664912,0.0,365.3884852664912
1.701,99,99,255.60698722309888,0.0,354.6069872230989
1.751,99,99,244.9777197162187,0.0,343.9777197162187
1.801,99,99,235.02316475081554,0.0,334.02316475081557
1.851,99,99,225.97091558661023,0.0,324.9709155866102
1.901,99,99,217.86949794140466,0.0,316.8694979414047
1.951,99,99,210.67068064654265,0.0,309.6706806465427
2.001,99,99,204.28269897378442,0.0,303.2826989737844
2.051,99,99,198.60151095747656,0.0,297.60151095747653
2.101,89,89,183.52713515348717,-4.75963826749167,267.7674968859955
2.151,63,63,148.32177366503356,-12.087401208740122,199.23437245629344
2.201,29,29,96.38835695821606,-15.447523852794184,109.94083310542189
2.251,9,9,51.820238542077334,-8.88494002665482,51.93529851542252
2.301,5,5,27.520746867482544,-1.7383746197305519,30.78237224775199
2.351,3,3,14.705974847929623,-0.8507018290089324,16.85527301892069
2.401,0,0,6.124937462694554,-1.249479383590171,4.875458079104383
2.451,0,0,2.498954493143433,0.0,2.498954493143433
2.501,0,0,0.9991821244076102,0.0,0.9991821244076102
2.551,0,0,0.391682526227993,0.0,0.391682526227993
2.551,0,0,0.1535407786076021,0.0,0.1535407786076021
2.551,0,0,0.060188466721913796,0.0,0.060188466721913796
2.551,0,0,0.023594067707531866,0.0,0.023594067707531866
2.551,0,0,0.009248948532940754,0.0,0.009248948532940754
2.551,0,0,0.0036256168298474142,0.0,0.0036256168298474142
2.851,0,0,0.0012717000455445156,0.0,0.0012717000455445156
2.902,0,0,0.00043821503981547746,0.0,0.00043821503981547746
2.952,6,6,6.000148446829206,2.032520325203252,14.032668772032459
3.002,42,42,43.99871700427356,11.992005329780147,97.9907223340537
3.052,91,91,105.4163555059874,16.05504587155963,212.471401377547
3.102,99,99,132.9833512269463,2.5789813023855577,234.56233252933185
3.152,99,99,141.19014950093475,0.0,240.19014950093475
3.202,99,99,143.09436274232814,0.0,242.09436274232814
3.252,99,99,143.00195656283154,0.0,242.00195656283154
3.302,99,99,142.3076791528866,0.0,241.3076791528866
3.352,98,98,140.45455821983492,-0.2983293556085919,238.15622886422634
3.402,37,37,78.28587837149763,-17.93062904174015,97.35524932975748
3.452,6,6,28.67841204272817,-8.980301274623407,25.698110768104762
3.502,0,0,8.189152496495765,-1.7133066818960596,6.4758458145997055
3.552,0,0,2.305504644283718,0.0,2.305504644283718
3.602,0,0,0.6400623665418429,0.0,0.6400623665418429
3.652,0,0,0.17526351767301285,0.0,0.17526351767301285
3.702,0,0,0.047342927518371915,0.0,0.047342927518371915
3.752,0,0,0.012618051044342195,0.0,0.012618051044342195
3.802,0,0,0.0033187930153451327,0.0,0.0033187930153451327
3.852,0,0,0.000861576587576618,0.0,0.000861576587576618
3.902,0,0,0.0002208038409986207,0.0,0.0002208038409986207
3.952,0,0,5.5871417256736006e-05,0.0,5.5871417256736006e-05
4.002,0,0,1.3960873877245379e-05,0.0,1.3960873877245379e-05
4.052,1,1,1.0000034454279065,0.246791707798618,2.2467951532265245
4.102,1,1,1.243784360172576,0.0,2.243784360172576
4.152,1,1,1.299562707170659,0.0,2.299562707170659
4.202,3,3,3.3092724196027272,0.47596382674916704,6.785236246351895
4.252,3,3,3.7782860817504065,0.0,6.778286081750407
4.302,5,5,5.87826268752915,0.4649000464900047,11.343162734019156
4.352,5,5,6.350703742538868,0.0,11.350703742538869
4.402,5,5,6.442685993307331,0.0,11.44268599330733
4.452,4,4,5.447144203348457,-0.22461814914645103,9.222526054202007
4.502,3,3,4.209938739082288,-0.22212350066637052,6.987815238415918
4.552,2,2,2.924854731784334,-0.21968365553602814,4.705171076248306
4.602,0,0,0.635561654016587,-0.43459365493263796,0.20096799908394908
4.652,0,0,0.13662116380408146,0.0,0.13662116380408146
4.702,0,0,0.029055968482365264,0.0,0.029055968482365264
4.752,0,0,0.006114471481979223,0.0,0.006114471481979223
