T,V_Proc,V_set,Error,Out,Calc,P,I,D,dt
1.6463584899902344,1.6064453125,3.8,-2.1935546875,1.2782723055054372,-1.2782723055054372,-1.118712890625,-0.02632265625,-0.13323675863043724,1.6463584899902344
1.6603705883026123,1.6650390625,3.8,-2.1349609375,1.997099289245345,-0.7188269837399078,-1.088830078125,-0.04816232733650525,0.41816542172159743,0.01401209831237793
1.6743838787078857,2.2900390625,3.8,-1.5099609374999998,0,3.6306092699913783,-0.7700800781249999,-0.05936237367482918,4.460051721791207,0.014013290405273438
1.6883962154388428,2.2119140625,3.8,-1.5880859374999998,1.4373625053330408,-1.4373625053330408,-0.809923828125,-0.06989426830584239,-0.5575444089021984,0.014012336730957031
1.7024104595184326,2.333984375,3.8,-1.4660156249999998,1.39142656953791,0.04593593579513078,-0.74766796875,-0.07744066843887742,0.8710445729840082,0.014014244079589844
1.7234282493591309,2.314453125,3.8,-1.4855468749999998,2.3040236237311666,-0.9125970541932565,-0.7576289062499999,-0.062040917496883764,-0.09292723044637287,0.021017789840698242
1.7454476356506348,2.216796875,3.8,-1.5832031249999998,3.607767595960098,-1.3037439722289315,-0.8074335937499999,-0.05280914412491008,-0.4435012343540214,0.022019386291503906
1.7654671669006348,2.2607421875,3.8,-1.5392578124999998,4.223402552768361,-0.6156349568082631,-0.785021484375,-0.05012566755521439,0.21951219512195125,0.02001953125
1.7874860763549805,2.265625,3.8,-1.5343749999999998,5.029488553836577,-0.8060860010682165,-0.7825312499999999,-0.04573029300467842,0.022175541936461877,0.022018909454345703
1.806504726409912,2.2265625,3.8,-1.5734374999999998,6.085067394305405,-1.055578840468827,-0.8024531249999999,-0.047735217787994694,-0.2053904976808324,0.01901865005493164
1.8255250453948975,2.3046875,3.8,-1.4953124999999998,6.484991919319302,-0.39992452501389725,-0.7626093749999999,-0.048060101566349794,0.41074495155245244,0.01902031898498535
1.8435370922088623,2.2705078125,3.8,-1.5294921874999998,7.505165632358619,-1.0201737130393163,-0.780041015625,-0.05037254492847946,-0.18976015248583683,0.018012046813964844
1.8605527877807617,2.24609375,3.8,-1.5539062499999998,8.4953086489592,-0.9901430166005816,-0.7924921875,-0.054171167062441856,-0.1434796620381398,0.017015695571899414
1.8965857028961182,2.3486328125,3.8,-1.4513671874999998,8.986392338053047,-0.491083689093847,-0.7401972656249999,-0.03545696729448412,0.284570543825637,0.036032915115356445
1.923609733581543,2.275390625,3.8,-1.5246093749999998,10.069009211770876,-1.0826168737178288,-0.7775507812499999,-0.03403995150247458,-0.2710261409653542,0.027024030685424805
1.950634241104126,2.294921875,3.8,-1.5050781249999998,10.797502778197275,-0.7284935664263987,-0.76758984375,-0.0331760850263092,0.07227236234991045,0.027024507522583008
1.9676501750946045,2.333984375,3.8,-1.4660156249999998,11.356595175354691,-0.5590923971574158,-0.74766796875,-0.04098867108641257,0.22956424267899678,0.017015933990478516
1.985666275024414,2.265625,3.8,-1.5343749999999998,12.564275210210234,-1.2076800348555428,-0.7825312499999999,-0.045713861279813334,-0.3794349235757295,0.01801609992980957
2.0076868534088135,2.32421875,3.8,-1.4757812499999998,13.093458219218029,-0.5291830090077942,-0.7526484374999999,-0.04262090664925016,0.2660863351414558,0.022020578384399414
2.0237011909484863,2.314453125,3.8,-1.4855468749999998,13.961831261118007,-0.8683730418999785,-0.7576289062499999,-0.04976362380671766,-0.06098051184326103,0.01601433753967285
2.0407161712646484,2.265625,3.8,-1.5343749999999998,15.084842735197318,-1.1230114740793111,-0.7825312499999999,-0.05350883714435632,-0.286971386934955,0.01701498031616211
2.0577316284179688,2.373046875,3.8,-1.4269531249999998,15.236129539679567,-0.15128680448224774,-0.7277460937499999,-0.054860069548524085,0.6313193588162762,0.017015457153320312
2.0747478008270264,2.3046875,3.8,-1.4953124999999998,16.457102410931853,-1.220972871252285,-0.7626093749999999,-0.05663170042484809,-0.40173179582743695,0.017016172409057617
2.0917632579803467,2.3095703125,3.8,-1.4904296874999998,17.246349376950235,-0.7892469660183823,-0.760119140625,-0.05782415988503116,0.02869633449164892,0.017015457153320312
2.108778953552246,2.34375,3.8,-1.4562499999999998,17.846419753776715,-0.6000703768264808,-0.7426875,-0.05825440367987655,0.20087152685339574,0.017015695571899414
2.1237921714782715,2.2802734375,3.8,-1.5197265624999998,19.109084021791194,-1.2626642680144782,-0.7750605468749999,-0.06479921105531126,-0.4228045100841671,0.01501321792602539
2.1408071517944336,2.3291015625,3.8,-1.4708984374999998,19.635621967877846,-0.5265379460866502,-0.7501582031249999,-0.06335112989660531,0.286971386934955,0.01701498031616211
2.155820846557617,2.333984375,3.8,-1.4660156249999998,20.418994408482135,-0.7833724406042879,-0.74766796875,-0.06822686275818164,0.0325223909038938,0.015013694763183594
2.1728365421295166,2.2802734375,3.8,-1.5197265624999998,21.576062645263928,-1.1570682367817922,-0.7750605468749999,-0.06635243342288469,-0.31565525648390763,0.017015695571899414
2.1868486404418945,2.3779296875,3.8,-1.4220703124999998,21.67826538754062,-0.10220274227669146,-0.7252558593749999,-0.07388925243768724,0.6969423695359956,0.01401209831237793
2.201862335205078,2.28515625,3.8,-1.5148437499999998,23.145996735614794,-1.467731348074173,-0.7725703125,-0.07723560840019081,-0.6179254271739821,0.015013694763183594
2.2168774604797363,2.314453125,3.8,-1.4855468749999998,23.78806269461638,-0.6420659590015838,-0.7576289062499999,-0.07955280745957712,0.19511575470799328,0.015015125274658203
2.233891725540161,2.34375,3.8,-1.4562499999999998,24.432142965764832,-0.6440802711484552,-0.7426875,-0.07358284163316017,0.17219007048470497,0.017014265060424805
